income,investment_percentage,goal,risk,return_rate,Goal_Feasibility,Duration_to_Achieve_Goal,Type_of_Goal
131958,18,medium,medium,5.6989117,Not Feasible,13,Save for higher education
681155,21,short,medium,8.66363769,Not Feasible,12,Upgrade clothing
141932,17,medium,medium,7.931982129,Not Feasible,8,Save for higher education
375838,33,long,high,13.85157922,Not Feasible,13,Build a retirement fund
269178,38,long,high,13.77168591,Not Feasible,8,Save for a house down payment
654167,31,medium,medium,7.380967304,Not Feasible,7,Buy a motorcycle
120268,37,medium,high,12.09124987,Not Feasible,8,Save for higher education
742180,33,long,medium,9.278967627,Not Feasible,14,Build a retirement fund
64886,41,long,high,14.56065519,Not Feasible,10,Save for children's education
147337,43,short,high,12.09714422,Not Feasible,12,Buy a laptop
531430,23,medium,medium,9.646727257,Not Feasible,13,Build an emergency fund
964698,28,medium,high,14.60661555,Not Feasible,14,Save for higher education
97498,18,short,medium,5.648243899,Not Feasible,12,Buy fancy shoes
909159,41,long,low,3.392727779,Not Feasible,13,Buy a car
922756,9,long,high,14.02703815,Not Feasible,13,Build a retirement fund
185203,28,short,low,2.449261237,Not Feasible,12,Pay off a small loan
201335,38,medium,medium,6.202036268,Not Feasible,13,Buy home appliances
288167,35,long,medium,7.766407414,Not Feasible,13,Buy a car
51090,34,short,high,10.60954827,Not Feasible,14,Buy a laptop
339365,13,short,high,11.68278372,Not Feasible,9,Buy a laptop
74820,31,short,high,12.5735723,Not Feasible,11,Buy a laptop
797201,32,long,medium,8.957309956,Not Feasible,14,Build a retirement fund
331879,46,long,high,10.78846405,Not Feasible,14,Save for children's education
728315,30,short,low,4.16477276,Not Feasible,13,Buy a laptop
337069,22,short,high,14.73927678,Not Feasible,12,Pay off a small loan
786997,40,long,medium,6.035094998,Not Feasible,11,Build a retirement fund
209041,12,long,low,2.681480588,Not Feasible,7,Save for a house down payment
801743,22,long,low,4.353477056,Not Feasible,14,Save for a house down payment
113355,24,long,high,10.67227438,Not Feasible,7,Build a retirement fund
245796,36,long,medium,7.351282078,Not Feasible,14,Build a retirement fund
224176,33,short,medium,7.067252801,Not Feasible,9,Buy a laptop
194779,22,long,high,12.55644447,Not Feasible,10,Build a retirement fund
357449,11,long,medium,7.595169847,Not Feasible,9,Start a business
431909,5,short,high,12.78880743,Not Feasible,14,Go on a vacation
999436,32,short,medium,9.090161831,Not Feasible,10,Pay off a small loan
